Date,Exports,Imports,Trade Balance,Currency in Circulation,Cash with Banks,Currency with the Public,Consumer Goods Manufacture,CPI,GDP,Government Expenditure,Gross Fixed Capital,Immediate Rates,Interest Rates,Share Prices,Wholesale Industry Prices
2001-10-01,3718.0,4093.0,-375.0,231864.3,7894.44,223969.86,30.2349710193557,38.41394452790352,100.222018804212,729805941687.449,1514689085492.7102,6.556542142672862,6.560989941324773,8.342255131302561,50.29859579253931
2002-01-01,4253.0,4243.0,10.0,241563.7,8246.87,233316.83,28.9138794792168,38.774777127748436,100.046858099036,679628661691.0441,1543044273264.97,6.437781976610395,6.432525916377795,-16.69431703769204,50.38056126074666
2002-04-01,4035.0,4207.0,-172.0,260992.3,8872.79,252119.51,28.1111521284564,39.22072560438947,99.698048505182,696903452027.9459,1535842562607.52,6.525148570929621,6.543366829106444,1.0691770860232777,50.60431056266329
2002-07-01,4583.0,4874.0,-290.0,260989.6,9344.95,251644.65,26.26630183692,39.575601586898756,99.2676107586842,688452010700.25,1592622515590.02,6.514258950907397,6.490589101954884,-3.8852483867707126,51.3489097359299
2002-10-01,4752.0,5593.0,-841.0,265903.32,9220.61,256682.71,27.3197888568575,39.973485010870476,98.9181093403326,721004058762.547,1659342954238.09,6.556542142672862,6.560989941324773,-0.2558574683559901,51.84624489384828
2003-01-01,4850.0,5571.0,-721.0,274471.08,9001.76,265469.32,27.8747446249689,40.103249149230045,98.8079372403661,756778866402.849,1683964565843.52,6.1901749775099955,6.185121073440187,-0.6584410638672411,52.50843589784651
2003-04-01,4314.0,5764.0,-1450.0,294871.09,10702.43,284168.66,28.2228020128726,41.22775633892266,98.9663043007233,723239032103.654,1763559568527.04,6.274181318201558,6.2916988741408115,10.480148319341144,53.971695369051226
2003-07-01,4637.0,5784.0,-1147.0,295914.13,12045.59,283868.54,28.5180223559372,41.22115674645365,99.2817394456575,811106714661.792,1879018961559.6602,6.013162108529905,5.991313017189124,13.807079784017718,53.767517803201926
2003-10-01,5609.0,7019.0,-1410.0,306318.58,12692.56,293626.02,30.4779727056266,41.28678225970058,99.5934390657539,764999226130.519,1907737732211.32,6.052192747082642,6.056298407376714,-21.33557267671933,54.508201348099526
2004-01-01,5216.0,6898.0,-1682.0,316381.7,10353.7,306028.0,32.3703436951055,41.846868677455774,99.7814880980464,753887375981.4299,2059570822350.67,5.9425679784095955,5.93771623050258,67.78059367965672,55.91929377202134
2004-04-01,5643.0,6987.0,-1344.0,341135.05,11532.804468,329602.245532,32.4398343112517,42.14764542558203,99.8785609586239,656353681668.106,2360503906864.29,6.023214065473495,6.040030919175179,-82.12327979125698,56.40369550699804
2004-07-01,5819.0,7872.0,-2053.0,337555.97,11233.954993,326322.015007,36.6931433473968,42.537600874097684,99.9561726166884,736320962155.632,2477795410905.92,6.013162108529905,5.991313017189124,35.13718936326447,57.86054684012384
2004-10-01,6519.0,8989.0,-2470.0,342163.62,11461.593514,330702.026486,38.2188833183957,43.174647054875045,100.029125888829,758892877613.9291,2583757125092.6997,6.052192747082642,6.056298407376714,-7.265745835800949,58.470183047450355
2005-01-01,8194.0,11009.0,-2815.0,357993.91,10925.882639,347068.027361,37.4019813998443,43.6735177070457,100.110190068651,1086311051289.52,2721770082028.17,5.9425679784095955,5.93771623050258,5.012359784968705,59.0172289054461
2005-04-01,7680.0,11336.0,-3656.0,384319.25,12435.715486,371883.534514,38.2629313412384,44.2383024407417,100.213389874707,696175258571.25,2848325116126.21,6.023214065473495,6.040030919175179,-8.69858812214202,59.73990082443798
2005-07-01,7492.0,11509.0,-4017.0,384337.05,12930.630111,371406.419889,38.2060589636563,44.26543379161144,100.314361705413,888053199790.072,2983270376677.46,6.013162108529905,5.991313017189124,47.0797898187857,60.10444950574923
2005-10-01,8622.0,11883.0,-3260.0,394281.9,13552.633845,380729.266155,39.225614942892,44.98043077201646,100.414042162479,962971900560.474,3114573344573.94,6.052192747082642,6.056298407376714,-15.836702552244546,60.69048741963942
2006-01-01,9168.0,12894.0,-3726.0,416161.0,13385.563813,402775.886187,40.1849868314615,45.58319623796135,100.52683414423,1120860372832.64,3259752542673.09,5.9425679784095955,5.93771623050258,44.41672640165875,61.35574803340097
2006-04-01,8625.0,12924.5,-4299.5,446376.26,14649.228034,431727.031966,45.3340220785242,46.29663333064005,100.658649427854,1038814625123.83,3370756620303.56,6.023214065473495,6.040030919175179,-74.44235284401115,62.52931253608487
2006-07-01,10600.1,14985.4,-4385.3,450244.0,14856.627286,435387.842714,50.5989548817182,47.06840884066487,100.841788102751,814182621493.246,3532537132797.68,6.013162108529905,5.991313017189124,42.99488298107112,63.91877033976792
2006-10-01,9928.6,17512.4,-7583.8,470841.62,19241.440505,451600.179495,48.7922910354117,48.09192441139735,101.073881221741,982506543445.671,3765164904651.71,6.052192747082642,6.056298407376714,-18.90968927440454,64.90189956948137
2007-01-01,10967.0,14446.9,-3479.9,488261.0,16274.754822,471986.545178,53.6464943124258,48.647612791773966,101.341006195563,1214853810390.09,3972360860716.14,5.9425679784095955,5.93771623050258,40.201134995517336,65.49667779611147
2007-04-01,11326.8,18370.6,-7043.8,520898.0,18159.949209,502738.310791,55.7699216882984,49.383075552682804,101.608760443938,1091980998568.23,4164336523267.6597,6.023214065473495,6.040030919175179,-13.380537003753496,66.48097912758462
2007-07-01,12513.3,21128.6,-8615.3,514637.81,19030.998631,495606.811369,63.2547563880549,50.10508037877226,101.804375165028,966646337396.531,4369926152757.65,6.013162108529905,5.991313017189124,43.82169198064948,66.80840733523658
2007-10-01,14674.7,21832.6,-7157.8,527021.51,20942.473683,506079.036317,68.8692335778233,50.7426604025767,101.842229108399,1070229798110.92,4605162540555.29,6.052192747082642,6.056298407376714,-16.38296221066025,67.09414151049495
2008-01-01,14889.1,22844.4,-7955.3,566388.89,22079.678763,544309.211237,71.324539240315,51.32897727635991,101.609359217217,1556658702240.33,4747102084939.06,5.9425679784095955,5.93771623050258,32.75938950354024,68.52947142513892
2008-04-01,18460.4,30316.9,-11856.5,610949.0,21510.158978,589438.411022,72.9654227175656,53.24112833023612,101.081058541708,1149393370841.8,4952413013924.65,6.023214065473495,6.040030919175179,-18.813948498149255,71.76923883091519
2008-07-01,19030.4,31625.5,-12595.0,625843.0,22958.749264,602884.530736,73.6799282034854,54.28050374366991,100.350493045411,1067414029086.0901,5103167159775.08,6.013162108529905,5.991313017189124,-9.92785918936155,74.32146352345532
